Original: whale | Swapped: al->in | Result: whine
Original: compiling | Swapped: il->ut | Result: computing
Original: inhaling | Swapped: al->id | Result: inhiding
Original: stark | Swapped: ar->in | Result: stink
Original: openeared | Swapped: ar->nd | Result: openended
Original: flaking | Swapped: ak->ut | Result: fluting
Original: flaking | Swapped: la->or | Result: forking
Original: tines | Swapped: in->ok | Result: tokes
Original: tines | Swapped: in->ri | Result: tries
Original: marne | Swapped: ar->il | Result: milne
Original: oilway | Swapped: il->ne | Result: oneway
Original: microfilms | Swapped: il->or | Result: microforms
Original: scarier | Swapped: ca->or | Result: sorrier
Original: minder | Swapped: nd->ri | Result: mirier
Original: agaze | Swapped: az->il | Result: agile
Original: bilge | Swapped: il->or | Result: borge
Original: declaring | Swapped: ar->in | Result: declining
Original: imodium | Swapped: mo->ri | Result: iridium
Original: fracas | Swapped: ca->il | Result: frails
Original: fracas | Swapped: ca->me | Result: frames
Original: fracas | Swapped: ca->nc | Result: francs
Original: diors | Swapped: or->sc | Result: discs
Original: diors | Swapped: or->va | Result: divas
Original: bedsides | Swapped: id->or | Result: bedsores
Original: seale | Swapped: al->in | Result: seine
Original: silvers | Swapped: il->la | Result: slavers
Original: allears | Swapped: ar->wi | Result: allewis
Original: remove | Swapped: mo->pa | Result: repave
Original: countermines | Swapped: mi->pa | Result: counterpanes
Original: knells | Swapped: ne->ri | Result: krills
Original: sealup | Swapped: al->nd | Result: sendup
Original: spars | Swapped: ar->in | Result: spins
Original: tilted | Swapped: il->ut | Result: tutted
Original: tilers | Swapped: il->ri | Result: triers
Original: gilmour | Swapped: il->la | Result: glamour
Original: tarsi | Swapped: ar->ut | Result: tutsi
Original: dories | Swapped: or->ut | Result: duties
Original: kline | Swapped: in->ut | Result: klute
Original: smiled | Swapped: il->ok | Result: smoked
Original: indent | Swapped: de->wa | Result: inwant
Original: carey | Swapped: ar->ut | Result: cutey
Original: silvered | Swapped: il->la | Result: slavered
Original: dearness | Swapped: ar->mo | Result: demoness
Original: dearness | Swapped: ar->wi | Result: dewiness
Original: acosta | Swapped: co->ri | Result: arista
Original: oilrigger | Swapped: il->ut | Result: outrigger
Original: dismay | Swapped: ma->ne | Result: disney
Original: slather | Swapped: la->mo | Result: smother
Original: belay | Swapped: la->nd | Result: bendy
Original: shill | Swapped: hi->me | Result: smell
Original: shill | Swapped: hi->ma | Result: small
Original: shill | Swapped: hi->ne | Result: snell
Original: emeka | Swapped: me->ri | Result: erika
Original: oneline | Swapped: ne->pa | Result: opaline
Original: oneline | Swapped: ne->ut | Result: outline
Original: chining | Swapped: hi->or | Result: corning
Original: chining | Swapped: in->ok | Result: choking
Original: choked | Swapped: ok->ut | Result: chuted
Original: whiter | Swapped: hi->in | Result: winter
Original: timecop | Swapped: co->ga | Result: timegap
Original: statins | Swapped: in->or | Result: stators
Original: teals | Swapped: al->nd | Result: tends
Original: pinky | Swapped: in->or | Result: porky
Original: jinni | Swapped: in->oh | Result: johni
Original: moiled | Swapped: il->or | Result: moored
Original: tarts | Swapped: ar->il | Result: tilts
Original: tarts | Swapped: ar->in | Result: tints
Original: tarts | Swapped: ar->wi | Result: twits
Original: rewarding | Swapped: ar->il | Result: rewilding
Original: rewarding | Swapped: ar->in | Result: rewinding
Original: scaleup | Swapped: ca->id | Result: sidleup
Original: sides | Swapped: de->la | Result: silas
Original: sides | Swapped: id->or | Result: sores
Original: inidle | Swapped: id->wa | Result: inwale
